Symbol	id	trait	population	Chr	Start	End
MSL1	eqtl-a-ENSG00000188895	ENSG00000188895	European	17	38278224	38293170
MSL2	eqtl-a-ENSG00000174579	ENSG00000174579	European	3	135867759	135915177
MSL3	eqtl-a-ENSG00000005302	ENSG00000005302	European	X	11776278	11793891
MSL3P1	eqtl-a-ENSG00000224287	ENSG00000224287	European	2	234774083	234777055
MSLN	eqtl-a-ENSG00000102854	ENSG00000102854	European	16	810734	818865
MSMO1	eqtl-a-ENSG00000052802	ENSG00000052802	European	4	166248821	166264316
MSN	eqtl-a-ENSG00000147065	ENSG00000147065	European	X	64887521	64961793
MSNP1	eqtl-a-ENSG00000251593	ENSG00000251593	European	5	25909424	25913387
MSR1	eqtl-a-ENSG00000038945	ENSG00000038945	European	8	15965390	16050160
MSRA	eqtl-a-ENSG00000175806	ENSG00000175806	European	8	9911802	10286401
MSRB1	eqtl-a-ENSG00000198736	ENSG00000198736	European	16	1988230	1993200
MSRB2	eqtl-a-ENSG00000148450	ENSG00000148450	European	10	23384508	23410942
MSRB3	eqtl-a-ENSG00000174099	ENSG00000174099	European	12	65672463	65860687
MSS51	eqtl-a-ENSG00000166343	ENSG00000166343	European	10	75183337	75193319
MST1	eqtl-a-ENSG00000173531	ENSG00000173531	European	3	49721380	49726907
MST1L	eqtl-a-ENSG00000186715	ENSG00000186715	European	1	17083615	17090975
MST1P2	eqtl-a-ENSG00000186301	ENSG00000186301	European	1	16972069	16976915
MST1R	eqtl-a-ENSG00000164078	ENSG00000164078	European	3	49924435	49941306
MSTO1	eqtl-a-ENSG00000125459	ENSG00000125459	European	1	155579961	155584758
MSTO2P	eqtl-a-ENSG00000203761	ENSG00000203761	European	1	155715559	155720479
MSX2P1	eqtl-a-ENSG00000229590	ENSG00000229590	European	17	56234320	56236481
MT1DP	eqtl-a-ENSG00000205361	ENSG00000205361	European	16	56677599	56678853
MT1E	eqtl-a-ENSG00000169715	ENSG00000169715	European	16	56659693	56661024
MT1F	eqtl-a-ENSG00000198417	ENSG00000198417	European	16	56691871	56693215
MT1L	eqtl-a-ENSG00000260549	ENSG00000260549	European	16	56651373	56652730
MT1X	eqtl-a-ENSG00000187193	ENSG00000187193	European	16	56716382	56718108
MT1XP1	eqtl-a-ENSG00000233929	ENSG00000233929	European	1	16567575	16567935
MT2A	eqtl-a-ENSG00000125148	ENSG00000125148	European	16	56642496	56643409
MT3	eqtl-a-ENSG00000087250	ENSG00000087250	European	16	56623440	56624997
MTA1	eqtl-a-ENSG00000182979	ENSG00000182979	European	14	105886164	105937066
MTA1-DT	eqtl-a-ENSG00000251602	ENSG00000251602	European	14	105883918	105886076
MTA2	eqtl-a-ENSG00000149480	ENSG00000149480	European	11	62360686	62369337
MTA3	eqtl-a-ENSG00000057935	ENSG00000057935	European	2	42721250	42984086
MTAP	eqtl-a-ENSG00000099810	ENSG00000099810	European	9	21802635	21941114
MTARC1	eqtl-a-ENSG00000186205	ENSG00000186205	European	1	220960255	220993001
MTARC2	eqtl-a-ENSG00000117791	ENSG00000117791	European	1	220921664	220958157
MTATP6P1	eqtl-a-ENSG00000248527	ENSG00000248527	European	1	569076	569756
MTATP6P26	eqtl-a-ENSG00000236878	ENSG00000236878	European	2	120968630	120969291
MTBP	eqtl-a-ENSG00000172167	ENSG00000172167	European	8	121457659	121535876
MTCH1	eqtl-a-ENSG00000137409	ENSG00000137409	European	6	36935911	36954327
MTCH2	eqtl-a-ENSG00000109919	ENSG00000109919	European	11	47638869	47664111
MTCL1	eqtl-a-ENSG00000168502	ENSG00000168502	European	18	8705554	8832776
MTCO1P12	eqtl-a-ENSG00000237973	ENSG00000237973	European	1	566454	567996
MTCO1P40	eqtl-a-ENSG00000262902	ENSG00000262902	European	17	51183095	51183719
MTCO2P11	eqtl-a-ENSG00000235917	ENSG00000235917	European	9	5098341	5099325
MTCO2P12	eqtl-a-ENSG00000229344	ENSG00000229344	European	1	568137	568818
MTCO2P33	eqtl-a-ENSG00000217083	ENSG00000217083	European	6	24948108	24948572
MTCO3P12	eqtl-a-ENSG00000198744	ENSG00000198744	European	1	569756	570302
MTCO3P43	eqtl-a-ENSG00000227788	ENSG00000227788	European	2	120969303	120970438
MTCO3P5	eqtl-a-ENSG00000225476	ENSG00000225476	European	2	143856467	143857502
MTCP1	eqtl-a-ENSG00000214827	ENSG00000214827	European	X	154292309	154299411
MTCYBP18	eqtl-a-ENSG00000244921	ENSG00000244921	European	5	134258993	134259739
MTDH	eqtl-a-ENSG00000147649	ENSG00000147649	European	8	98656412	98742488
MTDHP3	eqtl-a-ENSG00000268433	ENSG00000268433	European	19	21860352	21861023
MTDHP4	eqtl-a-ENSG00000268535	ENSG00000268535	European	19	21892338	21892968
MTERF1	eqtl-a-ENSG00000127989	ENSG00000127989	European	7	91500243	91510016
MTERF2	eqtl-a-ENSG00000120832	ENSG00000120832	European	12	107371055	107380924
MTERF3	eqtl-a-ENSG00000156469	ENSG00000156469	European	8	97251626	97273841
MTERF4	eqtl-a-ENSG00000122085	ENSG00000122085	European	2	242011583	242041702
MTF1	eqtl-a-ENSG00000188786	ENSG00000188786	European	1	38275246	38325264
MTF2	eqtl-a-ENSG00000143033	ENSG00000143033	European	1	93544840	93604633
MTFMT	eqtl-a-ENSG00000103707	ENSG00000103707	European	15	65293850	65321977
MTFP1	eqtl-a-ENSG00000242114	ENSG00000242114	European	22	30821756	30825041
MTFR1	eqtl-a-ENSG00000066855	ENSG00000066855	European	8	66556969	66622798
MTFR1L	eqtl-a-ENSG00000117640	ENSG00000117640	European	1	26146445	26159429
MTFR2	eqtl-a-ENSG00000146410	ENSG00000146410	European	6	136552172	136571449
MTG1	eqtl-a-ENSG00000148824	ENSG00000148824	European	10	135207661	135236024
MTG2	eqtl-a-ENSG00000101181	ENSG00000101181	European	20	60758084	60778624
MTHFD1	eqtl-a-ENSG00000100714	ENSG00000100714	European	14	64855071	64926743
MTHFD1L	eqtl-a-ENSG00000120254	ENSG00000120254	European	6	151186838	151423023
MTHFD2	eqtl-a-ENSG00000065911	ENSG00000065911	European	2	74425742	74444692
MTHFD2L	eqtl-a-ENSG00000163738	ENSG00000163738	European	4	74988990	75168816
MTHFR	eqtl-a-ENSG00000177000	ENSG00000177000	European	1	11845780	11866021
MTHFS	eqtl-a-ENSG00000136371	ENSG00000136371	European	15	80135889	80189627
MTHFSD	eqtl-a-ENSG00000103248	ENSG00000103248	European	16	86563792	86588841
MTIF2	eqtl-a-ENSG00000085760	ENSG00000085760	European	2	55463731	55496384
MTIF3	eqtl-a-ENSG00000122033	ENSG00000122033	European	13	28009780	28024701
MTLN	eqtl-a-ENSG00000175701	ENSG00000175701	European	2	110969106	110970124
MTM1	eqtl-a-ENSG00000171100	ENSG00000171100	European	X	149737071	149841616
MTMR1	eqtl-a-ENSG00000063601	ENSG00000063601	European	X	149861435	149933581
MTMR10	eqtl-a-ENSG00000166912	ENSG00000166912	European	15	31231144	31283831
MTMR11	eqtl-a-ENSG00000014914	ENSG00000014914	European	1	149900543	149908772
MTMR12	eqtl-a-ENSG00000150712	ENSG00000150712	European	5	32227113	32313045
MTMR14	eqtl-a-ENSG00000163719	ENSG00000163719	European	3	9691189	9744077
MTMR2	eqtl-a-ENSG00000087053	ENSG00000087053	European	11	95566044	95657271
MTMR3	eqtl-a-ENSG00000100330	ENSG00000100330	European	22	30279163	30426857
MTMR4	eqtl-a-ENSG00000108389	ENSG00000108389	European	17	56566898	56595241
MTMR6	eqtl-a-ENSG00000139505	ENSG00000139505	European	13	25820360	25861626
MTMR7	eqtl-a-ENSG00000003987	ENSG00000003987	European	8	17154303	17270860
MTMR8	eqtl-a-ENSG00000102043	ENSG00000102043	European	X	63487961	63615332
MTMR9	eqtl-a-ENSG00000104643	ENSG00000104643	European	8	11142325	11185655
MTMR9LP	eqtl-a-ENSG00000220785	ENSG00000220785	European	1	32697261	32707311
MTND1P23	eqtl-a-ENSG00000225972	ENSG00000225972	European	1	564442	564820
MTND2P28	eqtl-a-ENSG00000225630	ENSG00000225630	European	1	565020	566066
MTND3P9	eqtl-a-ENSG00000227557	ENSG00000227557	European	2	143856053	143856388
MTND4P12	eqtl-a-ENSG00000247627	ENSG00000247627	European	5	134262351	134263726
MTND5P11	eqtl-a-ENSG00000248923	ENSG00000248923	European	5	134260338	134262149
MTND5P28	eqtl-a-ENSG00000223549	ENSG00000223549	European	2	120972914	120974788
MTND6P4	eqtl-a-ENSG00000249119	ENSG00000249119	European	5	134259813	134260334
MTO1	eqtl-a-ENSG00000135297	ENSG00000135297	European	6	74171460	74218959
MTOR	eqtl-a-ENSG00000198793	ENSG00000198793	European	1	11166592	11322608
MTPAP	eqtl-a-ENSG00000107951	ENSG00000107951	European	10	30598730	30638207
MTPN	eqtl-a-ENSG00000105887	ENSG00000105887	European	7	135611508	135662107
MTR	eqtl-a-ENSG00000116984	ENSG00000116984	European	1	236958581	237067281
MTRES1	eqtl-a-ENSG00000130349	ENSG00000130349	European	6	107349403	107372790
MTREX	eqtl-a-ENSG00000039123	ENSG00000039123	European	5	54603817	54721407
MTRF1	eqtl-a-ENSG00000120662	ENSG00000120662	European	13	41790505	41886174
MTRF1L	eqtl-a-ENSG00000112031	ENSG00000112031	European	6	153308497	153323844
MTRFR	eqtl-a-ENSG00000130921	ENSG00000130921	European	12	123717983	123742507
MTRR	eqtl-a-ENSG00000124275	ENSG00000124275	European	5	7869261	7901226
MTSS1	eqtl-a-ENSG00000170873	ENSG00000170873	European	8	125563025	125740714
MTSS2	eqtl-a-ENSG00000132613	ENSG00000132613	European	16	70695107	70719956
MTURN	eqtl-a-ENSG00000180354	ENSG00000180354	European	7	30174602	30202378
MTUS1	eqtl-a-ENSG00000129422	ENSG00000129422	European	8	17501311	17659030
MTUS2	eqtl-a-ENSG00000132938	ENSG00000132938	European	13	29394100	30080084
MTX1	eqtl-a-ENSG00000173171	ENSG00000173171	European	1	155178486	155183630
MTX2	eqtl-a-ENSG00000128654	ENSG00000128654	European	2	177134170	177202753
MTX3	eqtl-a-ENSG00000177034	ENSG00000177034	European	5	79272539	79287085
MUC1	eqtl-a-ENSG00000185499	ENSG00000185499	European	1	155158300	155162706
MUC12	eqtl-a-ENSG00000205277	ENSG00000205277	European	7	100612846	100662217
MUC12-AS1	eqtl-a-ENSG00000227053	ENSG00000227053	European	7	100657601	100660889
MUC16	eqtl-a-ENSG00000181143	ENSG00000181143	European	19	8959520	9121113
MUC20	eqtl-a-ENSG00000176945	ENSG00000176945	European	3	195447849	195460422
MUC20P1	eqtl-a-ENSG00000224769	ENSG00000224769	European	3	195345496	195347108
MUC4	eqtl-a-ENSG00000145113	ENSG00000145113	European	3	195473642	195538800
MUC5B	eqtl-a-ENSG00000117983	ENSG00000117983	European	11	1244296	1283402
MUC6	eqtl-a-ENSG00000184956	ENSG00000184956	European	11	1012823	1036718
MUL1	eqtl-a-ENSG00000090432	ENSG00000090432	European	1	20825941	20834644
MUS81	eqtl-a-ENSG00000172732	ENSG00000172732	European	11	65627904	65635124
MUTYH	eqtl-a-ENSG00000132781	ENSG00000132781	European	1	45794914	45806112
MVB12A	eqtl-a-ENSG00000141971	ENSG00000141971	European	19	17516550	17536141
MVB12B	eqtl-a-ENSG00000196814	ENSG00000196814	European	9	129089108	129269319
MVD	eqtl-a-ENSG00000167508	ENSG00000167508	European	16	88718348	88729499
MVK	eqtl-a-ENSG00000110921	ENSG00000110921	European	12	110011599	110035930
MVP	eqtl-a-ENSG00000013364	ENSG00000013364	European	16	29831715	29859360
MX1	eqtl-a-ENSG00000157601	ENSG00000157601	European	21	42792485	42831141
MX2	eqtl-a-ENSG00000183486	ENSG00000183486	European	21	42733954	42781320
MXD1	eqtl-a-ENSG00000059728	ENSG00000059728	European	2	70142241	70170077
MXD3	eqtl-a-ENSG00000213347	ENSG00000213347	European	5	176732500	176739753
MXD4	eqtl-a-ENSG00000123933	ENSG00000123933	European	4	2249159	2263836
MXI1	eqtl-a-ENSG00000119950	ENSG00000119950	European	10	111967363	112047123
MXRA7	eqtl-a-ENSG00000182534	ENSG00000182534	European	17	74668633	74707047
MXRA8	eqtl-a-ENSG00000162576	ENSG00000162576	European	1	1288069	1298921
MYADM	eqtl-a-ENSG00000179820	ENSG00000179820	European	19	54368882	54379689
MYB	eqtl-a-ENSG00000118513	ENSG00000118513	European	6	135502446	135540310
MYBBP1A	eqtl-a-ENSG00000132382	ENSG00000132382	European	17	4442199	4458679
MYBL1	eqtl-a-ENSG00000185697	ENSG00000185697	European	8	67474410	67525453
MYBL2	eqtl-a-ENSG00000101057	ENSG00000101057	European	20	42295754	42345122
MYBPC2	eqtl-a-ENSG00000086967	ENSG00000086967	European	19	50936149	50969578
MYBPC3	eqtl-a-ENSG00000134571	ENSG00000134571	European	11	47352957	47374253
MYBPH	eqtl-a-ENSG00000133055	ENSG00000133055	European	1	203136939	203144954
MYC	eqtl-a-ENSG00000136997	ENSG00000136997	European	8	128747680	128755197
MYCBP	eqtl-a-ENSG00000214114	ENSG00000214114	European	1	39328162	39339050
MYCBP2	eqtl-a-ENSG00000005810	ENSG00000005810	European	13	77618792	77901229
MYCBPAP	eqtl-a-ENSG00000136449	ENSG00000136449	European	17	48585800	48608862
MYCL	eqtl-a-ENSG00000116990	ENSG00000116990	European	1	40361100	40367589
MYCN	eqtl-a-ENSG00000134323	ENSG00000134323	European	2	16080672	16087126
MYCT1	eqtl-a-ENSG00000120279	ENSG00000120279	European	6	153019032	153049320
MYD88	eqtl-a-ENSG00000172936	ENSG00000172936	European	3	38180152	38184513
MYDGF	eqtl-a-ENSG00000074842	ENSG00000074842	European	19	4657557	4670354
MYEF2	eqtl-a-ENSG00000104177	ENSG00000104177	European	15	48426829	48470492
MYEOV	eqtl-a-ENSG00000172927	ENSG00000172927	European	11	69061622	69064754
MYG1	eqtl-a-ENSG00000139637	ENSG00000139637	European	12	53693479	53700961
MYH10	eqtl-a-ENSG00000133026	ENSG00000133026	European	17	8377530	8534043
MYH11	eqtl-a-ENSG00000133392	ENSG00000133392	European	16	15796992	15950885
MYH15	eqtl-a-ENSG00000144821	ENSG00000144821	European	3	108099215	108229443
MYH3	eqtl-a-ENSG00000109063	ENSG00000109063	European	17	10531849	10560626
MYH7B	eqtl-a-ENSG00000078814	ENSG00000078814	European	20	33543671	33590240
MYH9	eqtl-a-ENSG00000100345	ENSG00000100345	European	22	36677326	36784012
MYL12-AS1	eqtl-a-ENSG00000264235	ENSG00000264235	European	18	3255434	3262357
MYL12A	eqtl-a-ENSG00000101608	ENSG00000101608	European	18	3247480	3256235
MYL12B	eqtl-a-ENSG00000118680	ENSG00000118680	European	18	3262131	3278459
MYL12BP1	eqtl-a-ENSG00000260490	ENSG00000260490	European	15	42864107	42864891
MYL4	eqtl-a-ENSG00000198336	ENSG00000198336	European	17	45286394	45301045
MYL5	eqtl-a-ENSG00000215375	ENSG00000215375	European	4	668331	675817
MYL6	eqtl-a-ENSG00000092841	ENSG00000092841	European	12	56552143	56555363
MYL6B	eqtl-a-ENSG00000196465	ENSG00000196465	European	12	56546371	56551766
MYL6P5	eqtl-a-ENSG00000228118	ENSG00000228118	European	17	69617079	69617772
MYL9	eqtl-a-ENSG00000101335	ENSG00000101335	European	20	35169922	35179850
MYLIP	eqtl-a-ENSG00000007944	ENSG00000007944	European	6	16129317	16148479
MYLK	eqtl-a-ENSG00000065534	ENSG00000065534	European	3	123328896	123603179
MYLK-AS1	eqtl-a-ENSG00000239523	ENSG00000239523	European	3	123304360	123349668
MYLK4	eqtl-a-ENSG00000145949	ENSG00000145949	European	6	2663871	2770610
MYNN	eqtl-a-ENSG00000085274	ENSG00000085274	European	3	169491184	169507504
MYO10	eqtl-a-ENSG00000145555	ENSG00000145555	European	5	16662016	16936397
MYO15A	eqtl-a-ENSG00000091536	ENSG00000091536	European	17	18012070	18083114
MYO15B	eqtl-a-ENSG00000266714	ENSG00000266714	European	17	73583881	73622929
MYO16	eqtl-a-ENSG00000041515	ENSG00000041515	European	13	109248253	109860353
MYO16-AS1	eqtl-a-ENSG00000236242	ENSG00000236242	European	13	109816253	109819651
MYO18A	eqtl-a-ENSG00000196535	ENSG00000196535	European	17	27398140	27507416
MYO18B	eqtl-a-ENSG00000133454	ENSG00000133454	European	22	26138155	26427011
MYO1A	eqtl-a-ENSG00000166866	ENSG00000166866	European	12	57422301	57444982
MYO1B	eqtl-a-ENSG00000128641	ENSG00000128641	European	2	192110130	192290112
MYO1C	eqtl-a-ENSG00000197879	ENSG00000197879	European	17	1367480	1395980
MYO1D	eqtl-a-ENSG00000176658	ENSG00000176658	European	17	30819540	31204142
MYO1E	eqtl-a-ENSG00000157483	ENSG00000157483	European	15	59424633	59665070
MYO1F	eqtl-a-ENSG00000142347	ENSG00000142347	European	19	8585662	8642326
MYO1G	eqtl-a-ENSG00000136286	ENSG00000136286	European	7	45002261	45018614
MYO1H	eqtl-a-ENSG00000174527	ENSG00000174527	European	12	109785705	109886184
MYO3B	eqtl-a-ENSG00000071909	ENSG00000071909	European	2	171034657	171511677
MYO5A	eqtl-a-ENSG00000197535	ENSG00000197535	European	15	52599480	52821247
MYO5B	eqtl-a-ENSG00000167306	ENSG00000167306	European	18	47349159	47721517
MYO5BP2	eqtl-a-ENSG00000238245	ENSG00000238245	European	9	66513033	66514506
MYO5C	eqtl-a-ENSG00000128833	ENSG00000128833	European	15	52484519	52588001
MYO6	eqtl-a-ENSG00000196586	ENSG00000196586	European	6	76458956	76629254
MYO7A	eqtl-a-ENSG00000137474	ENSG00000137474	European	11	76839292	76926286
MYO7B	eqtl-a-ENSG00000169994	ENSG00000169994	European	2	128293259	128395301
MYO9A	eqtl-a-ENSG00000066933	ENSG00000066933	European	15	72114632	72410491
MYO9B	eqtl-a-ENSG00000099331	ENSG00000099331	European	19	17186587	17324095
MYOF	eqtl-a-ENSG00000138119	ENSG00000138119	European	10	95066186	95242091
MYOM1	eqtl-a-ENSG00000101605	ENSG00000101605	European	18	3066805	3219966
MYOM2	eqtl-a-ENSG00000036448	ENSG00000036448	European	8	1993161	2093380
MYORG	eqtl-a-ENSG00000164976	ENSG00000164976	European	9	34366664	34376896
MYOSLID	eqtl-a-ENSG00000229647	ENSG00000229647	European	2	208104535	208110611
MYOT	eqtl-a-ENSG00000120729	ENSG00000120729	European	5	137203549	137223540
MYOZ3	eqtl-a-ENSG00000164591	ENSG00000164591	European	5	150040431	150058930
MYPOP	eqtl-a-ENSG00000176182	ENSG00000176182	European	19	46393281	46405871
MYRF	eqtl-a-ENSG00000124920	ENSG00000124920	European	11	61520108	61555990
MYRIP	eqtl-a-ENSG00000170011	ENSG00000170011	European	3	39850405	40301812
MYSM1	eqtl-a-ENSG00000162601	ENSG00000162601	European	1	59120415	59165734
MYT1L	eqtl-a-ENSG00000186487	ENSG00000186487	European	2	1792885	2335047
MZB1	eqtl-a-ENSG00000170476	ENSG00000170476	European	5	138723156	138725602
MZF1	eqtl-a-ENSG00000099326	ENSG00000099326	European	19	59073299	59084940
MZF1-AS1	eqtl-a-ENSG00000267858	ENSG00000267858	European	19	59070553	59086164
MZT1	eqtl-a-ENSG00000204899	ENSG00000204899	European	13	73282505	73301767
MZT2A	eqtl-a-ENSG00000173272	ENSG00000173272	European	2	132241533	132249970
MZT2B	eqtl-a-ENSG00000152082	ENSG00000152082	European	2	130939835	130948300
N4BP1	eqtl-a-ENSG00000102921	ENSG00000102921	European	16	48572637	48644091
N4BP2	eqtl-a-ENSG00000078177	ENSG00000078177	European	4	40058470	40159872
N4BP2L1	eqtl-a-ENSG00000139597	ENSG00000139597	European	13	32974860	33002267
N4BP2L2	eqtl-a-ENSG00000244754	ENSG00000244754	European	13	33006622	33113005
N4BP3	eqtl-a-ENSG00000145911	ENSG00000145911	European	5	177540533	177553082
N6AMT1	eqtl-a-ENSG00000156239	ENSG00000156239	European	21	30244513	30257689
NAA10	eqtl-a-ENSG00000102030	ENSG00000102030	European	X	153194678	153200490
NAA15	eqtl-a-ENSG00000164134	ENSG00000164134	European	4	140222659	140312538
NAA16	eqtl-a-ENSG00000172766	ENSG00000172766	European	13	41885403	41951166
NAA20	eqtl-a-ENSG00000173418	ENSG00000173418	European	20	19997934	20014299
NAA25	eqtl-a-ENSG00000111300	ENSG00000111300	European	12	112464493	112546587
NAA30	eqtl-a-ENSG00000139977	ENSG00000139977	European	14	57857304	57882624
NAA35	eqtl-a-ENSG00000135040	ENSG00000135040	European	9	88556061	88640377
NAA38	eqtl-a-ENSG00000183011	ENSG00000183011	European	17	7760003	7788738
NAA40	eqtl-a-ENSG00000110583	ENSG00000110583	European	11	63706474	63724791
NAA50	eqtl-a-ENSG00000121579	ENSG00000121579	European	3	113435305	113465096
NAA60	eqtl-a-ENSG00000122390	ENSG00000122390	European	16	3493611	3536963
NAA80	eqtl-a-ENSG00000243477	ENSG00000243477	European	3	50333833	50336836
NAAA	eqtl-a-ENSG00000138744	ENSG00000138744	European	4	76831808	76862166
NAALAD2	eqtl-a-ENSG00000077616	ENSG00000077616	European	11	89867831	89926062
NAALADL1	eqtl-a-ENSG00000168060	ENSG00000168060	European	11	64812290	64826025
NAB1	eqtl-a-ENSG00000138386	ENSG00000138386	European	2	191513621	191557492
NAB2	eqtl-a-ENSG00000166886	ENSG00000166886	European	12	57482897	57489259
NABP1	eqtl-a-ENSG00000173559	ENSG00000173559	European	2	192542862	192551669
NABP2	eqtl-a-ENSG00000139579	ENSG00000139579	European	12	56618126	56623638
NACA	eqtl-a-ENSG00000196531	ENSG00000196531	European	12	57106211	57119083
NACA3P	eqtl-a-ENSG00000121089	ENSG00000121089	European	4	165864403	165865192
NACA4P	eqtl-a-ENSG00000228224	ENSG00000228224	European	8	102381121	102381823
NACAD	eqtl-a-ENSG00000136274	ENSG00000136274	European	7	45120036	45128568
NACC1	eqtl-a-ENSG00000160877	ENSG00000160877	European	19	13229078	13251961
NACC2	eqtl-a-ENSG00000148411	ENSG00000148411	European	9	138898383	138987135
NADK	eqtl-a-ENSG00000008130	ENSG00000008130	European	1	1682671	1711470
NADK2	eqtl-a-ENSG00000152620	ENSG00000152620	European	5	36192691	36242381
NADSYN1	eqtl-a-ENSG00000172890	ENSG00000172890	European	11	71164249	71212862
NAE1	eqtl-a-ENSG00000159593	ENSG00000159593	European	16	66836781	66864879
NAF1	eqtl-a-ENSG00000145414	ENSG00000145414	European	4	164047860	164088042
NAGA	eqtl-a-ENSG00000198951	ENSG00000198951	European	22	42454338	42466846
NAGK	eqtl-a-ENSG00000124357	ENSG00000124357	European	2	71295426	71306938
NAGLU	eqtl-a-ENSG00000108784	ENSG00000108784	European	17	40688259	40696467
NAGPA	eqtl-a-ENSG00000103174	ENSG00000103174	European	16	5074845	5083936
NAGS	eqtl-a-ENSG00000161653	ENSG00000161653	European	17	42081990	42086436
NAIF1	eqtl-a-ENSG00000171169	ENSG00000171169	European	9	130823512	130829599
NAIP	eqtl-a-ENSG00000249437	ENSG00000249437	European	5	70263993	70321166
NAIPP1	eqtl-a-ENSG00000250687	ENSG00000250687	European	5	69755300	69774411
NAIPP2	eqtl-a-ENSG00000179978	ENSG00000179978	European	5	69388665	69424264
NAIPP3	eqtl-a-ENSG00000248477	ENSG00000248477	European	5	68914137	68919276
NAIPP4	eqtl-a-ENSG00000251634	ENSG00000251634	European	5	70396883	70424583
NALF2	eqtl-a-ENSG00000130054	ENSG00000130054	European	X	68724169	68752351
NALT1	eqtl-a-ENSG00000237886	ENSG00000237886	European	9	139442294	139444196
NAMPT	eqtl-a-ENSG00000105835	ENSG00000105835	European	7	105888744	105925429
NAMPTP1	eqtl-a-ENSG00000229644	ENSG00000229644	European	10	36810664	36813164
NANOS1	eqtl-a-ENSG00000188613	ENSG00000188613	European	10	120789226	120793242
NANOS3	eqtl-a-ENSG00000187556	ENSG00000187556	European	19	13972850	13991571
NANP	eqtl-a-ENSG00000170191	ENSG00000170191	European	20	25593571	25604650
NANS	eqtl-a-ENSG00000095380	ENSG00000095380	European	9	100819014	100845359
NAP1L1	eqtl-a-ENSG00000187109	ENSG00000187109	European	12	76430365	76478465
NAP1L1P1	eqtl-a-ENSG00000254759	ENSG00000254759	European	11	125937288	125938496
NAP1L2	eqtl-a-ENSG00000186462	ENSG00000186462	European	X	72432135	72434687
NAP1L3	eqtl-a-ENSG00000186310	ENSG00000186310	European	X	92925929	92928577
NAP1L4	eqtl-a-ENSG00000205531	ENSG00000205531	European	11	2965667	3013559
NAP1L4P1	eqtl-a-ENSG00000177173	ENSG00000177173	European	1	117074383	117076733
NAP1L5	eqtl-a-ENSG00000177432	ENSG00000177432	European	4	89617064	89618980
NAPA	eqtl-a-ENSG00000105402	ENSG00000105402	European	19	47990894	48018320
NAPA-AS1	eqtl-a-ENSG00000268061	ENSG00000268061	European	19	47987539	48004854
NAPB	eqtl-a-ENSG00000125814	ENSG00000125814	European	20	23355159	23402125
NAPEPLD	eqtl-a-ENSG00000161048	ENSG00000161048	European	7	102740223	102790448
NAPG	eqtl-a-ENSG00000134265	ENSG00000134265	European	18	10526024	10552761
NAPRT	eqtl-a-ENSG00000147813	ENSG00000147813	European	8	144656955	144660500
NAPSA	eqtl-a-ENSG00000131400	ENSG00000131400	European	19	50861734	50868896
NAPSB	eqtl-a-ENSG00000131401	ENSG00000131401	European	19	50837057	50848024
NARF	eqtl-a-ENSG00000141562	ENSG00000141562	European	17	80416074	80448413
NARS1	eqtl-a-ENSG00000134440	ENSG00000134440	European	18	55267888	55289068
NARS2	eqtl-a-ENSG00000137513	ENSG00000137513	European	11	78147014	78285909
NASP	eqtl-a-ENSG00000132780	ENSG00000132780	European	1	46049713	46084565
NASPP1	eqtl-a-ENSG00000255397	ENSG00000255397	European	8	61849507	61852537
NAT1	eqtl-a-ENSG00000171428	ENSG00000171428	European	8	18027976	18081198
NAT10	eqtl-a-ENSG00000135372	ENSG00000135372	European	11	34127176	34168455
NAT14	eqtl-a-ENSG00000090971	ENSG00000090971	European	19	55996555	55998933
NAT8B	eqtl-a-ENSG00000204872	ENSG00000204872	European	2	73927636	73928467
NAT8L	eqtl-a-ENSG00000185818	ENSG00000185818	European	4	2061054	2070816
NAT9	eqtl-a-ENSG00000109065	ENSG00000109065	European	17	72766668	72772484
NAV1	eqtl-a-ENSG00000134369	ENSG00000134369	European	1	201508255	201796097
NAV2	eqtl-a-ENSG00000166833	ENSG00000166833	European	11	19366783	20143147
NAV3	eqtl-a-ENSG00000067798	ENSG00000067798	European	12	78224674	78606790
NAXD	eqtl-a-ENSG00000213995	ENSG00000213995	European	13	111267807	111292343
NAXE	eqtl-a-ENSG00000163382	ENSG00000163382	European	1	156561568	156564091
NBAS	eqtl-a-ENSG00000151779	ENSG00000151779	European	2	15307040	15701458
NBDY	eqtl-a-ENSG00000204272	ENSG00000204272	European	X	56755676	56845612
NBEA	eqtl-a-ENSG00000172915	ENSG00000172915	European	13	35516407	36246873
NBEAL1	eqtl-a-ENSG00000144426	ENSG00000144426	European	2	203879598	204089917
NBEAL2	eqtl-a-ENSG00000160796	ENSG00000160796	European	3	47021156	47051191
NBEAP2	eqtl-a-ENSG00000197927	ENSG00000197927	European	2	132479991	132509158
NBL1	eqtl-a-ENSG00000158747	ENSG00000158747	European	1	19969723	19984945
NBN	eqtl-a-ENSG00000104320	ENSG00000104320	European	8	90945559	90996895
NBPF1	eqtl-a-ENSG00000219481	ENSG00000219481	European	1	16888818	16940059
NBPF2P	eqtl-a-ENSG00000227001	ENSG00000227001	European	1	21749601	21754453
NBPF3	eqtl-a-ENSG00000142794	ENSG00000142794	European	1	21766630	21811393
NBPF4	eqtl-a-ENSG00000196427	ENSG00000196427	European	1	108765086	108786698
NBR1	eqtl-a-ENSG00000188554	ENSG00000188554	European	17	41322426	41363707
